,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
RUB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,93.3396
RWF,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1298.4402
SAR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,3.75
SBD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,8.5014
SCR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,14.2904
SDG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,543.5453
SEK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,10.9959
SGD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1.3635
SHP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.7993
SLE,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,22.7233
SLL,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,22723.343
SOS,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,571.178
SRD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,33.9737
